area,bedrooms,garage,cost/m²,type_Apartamento,type_Casa,type_Casa em condomínio,type_Studio e kitnet,valor_regiao
60,2,0,33.8,1,0,0,0,0
61,1,0,28.39,1,0,0,0,0
75,2,1,23.99,0,0,1,0,0
38,1,0,36.53,1,0,0,0,0
70,1,1,23.64,0,1,0,0,0
55,2,1,43.64,1,0,0,0,0
33,1,1,67.36,1,0,0,0,1
50,2,1,24.24,1,0,0,0,0
34,2,0,40.0,0,0,0,1,1
32,0,0,47.88,0,0,0,1,0
38,1,0,44.79,1,0,0,0,0
38,1,0,36.24,0,0,0,1,0
50,2,2,64.62,1,0,0,0,1
91,3,2,80.02,1,0,0,0,1
80,2,0,29.19,0,1,0,0,0
30,1,0,89.4,0,0,0,1,1
60,2,0,28.77,0,1,0,0,0
36,1,1,51.69,1,0,0,0,1
34,2,1,63.82,1,0,0,0,1
32,1,0,64.59,0,0,0,1,1
38,1,1,77.37,1,0,0,0,1
38,1,0,39.26,0,0,0,1,0
70,1,0,20.54,0,1,0,0,0
34,1,0,53.15,0,0,0,1,0
60,1,0,23.45,0,1,0,0,0
40,1,0,33.28,0,1,0,0,0
90,2,0,27.58,1,0,0,0,0
75,1,2,13.88,0,1,0,0,0
41,2,0,61.76,1,0,0,0,1
42,1,0,49.21,0,0,0,1,0
70,2,1,29.16,0,1,0,0,0
35,2,0,57.57,1,0,0,0,0
82,3,2,39.72,1,0,0,0,0
54,1,1,28.94,0,1,0,0,0
67,2,1,55.15,1,0,0,0,1
73,2,2,36.81,1,0,0,0,0
90,3,1,23.12,0,1,0,0,0
90,2,0,31.2,0,1,0,0,0
95,2,2,29.93,1,0,0,0,0
130,3,1,20.05,0,1,0,0,0
30,1,0,35.23,0,0,0,1,0
50,2,1,71.56,1,0,0,0,1
55,2,1,39.16,1,0,0,0,0
60,2,0,24.33,0,1,0,0,0
49,2,1,61.16,1,0,0,0,1
110,3,2,52.85,0,1,0,0,1
50,2,1,39.84,1,0,0,0,0
81,2,1,62.81,1,0,0,0,1
70,1,0,15.16,0,1,0,0,0
35,1,0,38.03,1,0,0,0,0
60,2,1,46.42,0,0,1,0,0
55,1,0,38.42,1,0,0,0,1
30,1,0,79.87,0,0,0,1,1
55,2,0,37.91,0,1,0,0,0
80,2,1,26.06,0,1,0,0,0
68,3,1,45.09,1,0,0,0,1
65,2,1,31.66,1,0,0,0,0
50,2,1,43.54,1,0,0,0,0
33,1,0,48.7,1,0,0,0,1
58,2,1,40.72,1,0,0,0,0
58,2,1,85.9,1,0,0,0,1
63,3,1,29.63,1,0,0,0,0
38,1,1,111.21,1,0,0,0,1
30,1,0,74.63,1,0,0,0,1
45,2,0,39.87,1,0,0,0,0
60,2,1,42.12,1,0,0,0,0
50,2,1,51.26,1,0,0,0,1
56,2,1,38.43,1,0,0,0,0
64,1,0,20.89,0,1,0,0,0
49,2,1,47.49,1,0,0,0,0
70,2,1,20.2,0,1,0,0,0
32,1,0,53.22,0,0,0,1,1
60,2,1,75.12,1,0,0,0,1
53,2,1,76.98,1,0,0,0,1
65,3,2,55.52,1,0,0,0,1
44,0,0,36.32,0,0,0,1,0
80,2,0,20.5,1,0,0,0,0
34,1,0,47.24,1,0,0,0,0
52,2,1,46.37,0,0,1,0,0
55,2,1,48.51,1,0,0,0,0
49,2,1,38.35,1,0,0,0,0
42,1,0,39.93,0,0,0,1,0
65,3,1,46.95,1,0,0,0,0
54,2,1,43.48,1,0,0,0,0
70,1,0,18.03,0,1,0,0,0
57,2,0,47.32,1,0,0,0,1
70,3,1,56.94,1,0,0,0,1
40,1,1,92.68,0,0,0,1,1
48,2,1,53.27,1,0,0,0,1
31,1,0,80.03,0,0,0,1,1
53,2,0,57.21,1,0,0,0,1
55,2,1,61.75,1,0,0,0,0
61,2,1,31.46,1,0,0,0,0
33,1,1,122.42,0,0,0,1,2
80,2,1,21.5,0,1,0,0,0
30,1,0,47.4,0,0,0,1,0
60,2,1,62.13,1,0,0,0,1
120,3,1,17.38,0,1,0,0,0
30,1,0,42.2,0,0,0,1,0
38,2,0,65.68,1,0,0,0,1
53,2,1,74.77,1,0,0,0,1
60,2,2,43.08,1,0,0,0,0
52,2,1,46.77,1,0,0,0,0
64,3,2,38.31,1,0,0,0,0
66,2,2,80.14,1,0,0,0,1
44,2,1,54.34,1,0,0,0,0
55,2,1,36.71,1,0,0,0,0
30,1,1,54.13,0,1,0,0,0
55,1,0,37.53,1,0,0,0,0
42,1,1,91.81,1,0,0,0,1
150,3,1,26.4,0,1,0,0,0
65,2,1,33.58,1,0,0,0,0
84,3,2,51.77,1,0,0,0,1
57,2,1,45.05,1,0,0,0,0
40,2,0,67.6,1,0,0,0,1
72,2,1,72.22,1,0,0,0,1
72,3,2,88.32,1,0,0,0,1
74,3,2,66.39,1,0,0,0,0
35,1,0,34.14,0,0,0,1,0
38,1,1,69.79,1,0,0,0,1
52,1,0,65.83,1,0,0,0,1
73,3,1,30.71,1,0,0,0,0
30,1,0,80.97,0,0,0,1,1
55,2,1,65.62,1,0,0,0,1
32,1,1,90.44,0,0,0,1,1
